Symbol,Company Name,Txn Type,Txn Date/Time, Gross Leverage, Net Leverage,# Shares,Price,Txn Value,Portfolio # Shares,Portfolio Value,Commission,Slippage(10BPS),Comments
MNST,MNST,Sell,2009-11-20 16:00:00,1.00107816362,1.00107816362,-93.0,17.71,-1647.03,4565.0,1176069.76,0.0,0.0,
MUR,MUR,Buy,2009-11-20 16:00:00,1.00107816362,1.00107816362,95.0,54.11,5140.45,2834.0,1176069.76,0.0,0.0,
SUN,SUN,Buy,2009-11-20 16:00:00,1.00107816362,1.00107816362,144.0,24.7,3556.8,6342.0,1176069.76,0.0,0.0,
TAP,TAP,Sell,2009-11-20 16:00:00,1.00107816362,1.00107816362,-5.0,41.99,-209.95,3540.0,1176069.76,0.0,0.0,
WFM,WFM,Sell,2009-11-20 16:00:00,1.00107816362,1.00107816362,-75.0,26.05,-1953.75,6037.0,1176069.76,0.0,0.0,
ACE,ACE,Buy,2009-11-23 16:00:00,1.03034062228,1.03034062228,1735.0,46.59,80833.65,1735.0,1216805.62,0.0,0.0,
CHK,CHK,Buy,2009-11-23 16:00:00,1.03034062228,1.03034062228,3688.0,22.35,82426.8,3688.0,1216805.62,0.0,0.0,
CVS,CVS,Sell,2009-11-23 16:00:00,1.03034062228,1.03034062228,-2468.0,30.77,-75940.36,2731.0,1216805.62,0.0,0.0,
DHI,DHI,Buy,2009-11-23 16:00:00,1.03034062228,1.03034062228,8200.0,10.27,84214.0,8200.0,1216805.62,0.0,0.0,
DV,DV,Sell,2009-11-23 16:00:00,1.03034062228,1.03034062228,-1385.0,53.38,-73931.3,1606.0,1216805.62,0.0,0.0,
JEC,JEC,Buy,2009-11-23 16:00:00,1.03034062228,1.03034062228,2341.0,36.42,85259.22,2341.0,1216805.62,0.0,0.0,
MNST,MNST,Sell,2009-11-23 16:00:00,1.03034062228,1.03034062228,-2142.0,17.85,-38234.7,2423.0,1216805.62,0.0,0.0,
MUR,MUR,Sell,2009-11-23 16:00:00,1.03034062228,1.03034062228,-1335.0,54.76,-73104.6,1499.0,1216805.62,0.0,0.0,
NBR,NBR,Buy,2009-11-23 16:00:00,1.03034062228,1.03034062228,4260.0,20.35,86691.0,4260.0,1216805.62,0.0,0.0,
PWR,PWR,Buy,2009-11-23 16:00:00,1.03034062228,1.03034062228,4375.0,19.6,85750.0,4375.0,1216805.62,0.0,0.0,
SUN,SUN,Sell,2009-11-23 16:00:00,1.03034062228,1.03034062228,-3010.0,24.46,-73624.6,3332.0,1216805.62,0.0,0.0,
TAP,TAP,Sell,2009-11-23 16:00:00,1.03034062228,1.03034062228,-1645.0,42.2,-69419.0,1895.0,1216805.62,0.0,0.0,
VRSN,VRSN,Buy,2009-11-23 16:00:00,1.03034062228,1.03034062228,4009.0,20.35,81583.15,4009.0,1216805.62,0.0,0.0,
WFM,WFM,Sell,2009-11-23 16:00:00,1.03034062228,1.03034062228,-2770.0,26.42,-73183.4,3267.0,1216805.62,0.0,0.0,
ACE,ACE,Sell,2009-11-24 16:00:00,1.0027441837,1.0027441837,-144.0,46.65,-6717.6,1591.0,1184236.88,0.0,0.0,
BIG,BIG,Buy,2009-11-24 16:00:00,1.0027441837,1.0027441837,3287.0,24.06,79085.22,3287.0,1184236.88,0.0,0.0,
CHK,CHK,Sell,2009-11-24 16:00:00,1.0027441837,1.0027441837,-278.0,22.79,-6335.62,3410.0,1184236.88,0.0,0.0,
CVS,CVS,Sell,2009-11-24 16:00:00,1.0027441837,1.0027441837,-241.0,30.49,-7348.09,2490.0,1184236.88,0.0,0.0,
DHI,DHI,Sell,2009-11-24 16:00:00,1.0027441837,1.0027441837,-870.0,10.19,-8865.3,7330.0,1184236.88,0.0,0.0,
DV,DV,Sell,2009-11-24 16:00:00,1.0027441837,1.0027441837,-1606.0,54.23,-87093.38,0.0,1184236.88,0.0,0.0,
HSY,HSY,Buy,2009-11-24 16:00:00,1.0027441837,1.0027441837,2185.0,34.15,74617.75,2185.0,1184236.88,0.0,0.0,
JEC,JEC,Sell,2009-11-24 16:00:00,1.0027441837,1.0027441837,-180.0,35.98,-6476.4,2161.0,1184236.88,0.0,0.0,
MNST,MNST,Sell,2009-11-24 16:00:00,1.0027441837,1.0027441837,-210.0,17.5,-3675.0,2213.0,1184236.88,0.0,0.0,
MUR,MUR,Sell,2009-11-24 16:00:00,1.0027441837,1.0027441837,-128.0,54.54,-6981.12,1371.0,1184236.88,0.0,0.0,
NBR,NBR,Sell,2009-11-24 16:00:00,1.0027441837,1.0027441837,-366.0,20.71,-7579.86,3894.0,1184236.88,0.0,0.0,
PWR,PWR,Sell,2009-11-24 16:00:00,1.0027441837,1.0027441837,-330.0,19.35,-6385.5,4045.0,1184236.88,0.0,0.0,
SUN,SUN,Sell,2009-11-24 16:00:00,1.0027441837,1.0027441837,-238.0,24.41,-5809.58,3094.0,1184236.88,0.0,0.0,
TAP,TAP,Sell,2009-11-24 16:00:00,1.0027441837,1.0027441837,-178.0,42.36,-7540.08,1717.0,1184236.88,0.0,0.0,
VRSN,VRSN,Sell,2009-11-24 16:00:00,1.0027441837,1.0027441837,-422.0,20.59,-8688.98,3587.0,1184236.88,0.0,0.0,
WFM,WFM,Sell,2009-11-24 16:00:00,1.0027441837,1.0027441837,-334.0,26.12,-8724.08,2933.0,1184236.88,0.0,0.0,
ACE,ACE,Sell,2009-11-25 16:00:00,0.997067116743,0.997067116743,-262.0,46.68,-12230.16,1329.0,1186978.65,0.0,0.0,
BIG,BIG,Sell,2009-11-25 16:00:00,0.997067116743,0.997067116743,-541.0,24.2,-13092.2,2746.0,1186978.65,0.0,0.0,
CHK,CHK,Sell,2009-11-25 16:00:00,0.997067116743,0.997067116743,-618.0,23.95,-14801.1,2792.0,1186978.65,0.0,0.0,
CVS,CVS,Sell,2009-11-25 16:00:00,0.997067116743,0.997067116743,-399.0,30.42,-12137.58,2091.0,1186978.65,0.0,0.0,
DHI,DHI,Sell,2009-11-25 16:00:00,0.997067116743,0.997067116743,-1114.0,10.27,-11440.78,6216.0,1186978.65,0.0,0.0,
HSY,HSY,Sell,2009-11-25 16:00:00,0.997067116743,0.997067116743,-376.0,33.48,-12588.48,1809.0,1186978.65,0.0,0.0,
JEC,JEC,Sell,2009-11-25 16:00:00,0.997067116743,0.997067116743,-317.0,36.61,-11605.37,1844.0,1186978.65,0.0,0.0,
LTD,LTD,Buy,2009-11-25 16:00:00,0.997067116743,0.997067116743,3988.0,16.12,64286.56,3988.0,1186978.65,0.0,0.0,
